评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
159571,1973,钟蓉戎,2022-08-16 03:26:04,2,2,0,快逃 给分巨低
175927,1973,钟蓉戎,2023-06-27 07:07:02,3,4,1,1分给不合理的形策课，感觉这种课没啥开的必要，反正大家都是去了各自做自己的事情，还不如开成网课看了就算得分\n\n老师给分还行今年，貌似有捞起来一些了，给这里10分，合起来给个中分5分吧
193941,1973,钟蓉戎,2024-06-21 03:01:09,-1,0,1,不知道为啥评分这么低\n\n形策给分挺好的\n\n不要纠结卡绩，我们整个宿舍三个区间都被卡，推测应该是给所有人都调成了区间最高分\n\n事情很少，感觉形策课体验是不错的，点名也可以课后补
194776,1973,钟蓉戎,2024-06-25 11:27:12,-1,0,1,形策5.0前来还愿。事情在所有班里算是少的，给分还不错的，但其实最主要还是看个人，期末考多写点肯定分数肯定不会低的。\n\n形策给我的感觉不是老师的问题，主要这课程设置就没什么意义。
220136,1973,钟蓉戎,2025-06-15 10:02:42,2,2,0,真无语。。。形策这种水课还卡绩。。。
220158,1973,钟蓉戎,2025-06-16 02:15:25,2,2,0,给分低 准备了两天 最后只有3.6 背了这么多一点用没有 还卡绩 这种水课还考试要求这么高 活该评分低
220164,1973,钟蓉戎,2025-06-16 02:51:22,1,1,0,给分有点低
220168,1973,钟蓉戎,2025-06-16 02:58:15,2,2,0,超烂的给分，考前两天突击如果是通识课那是我的问题，这种课真的有人会认真上平时复习吗。本来要期末考就很不合理了，居然还卡绩，就很好笑，每次还多上半小时，但是又是ppt朗读器，我不需要也没感受到她的用心，就这样居然还要求我们在这种水课上用心吗？快逃
220169,1973,钟蓉戎,2025-06-16 03:02:05,1,1,0,事情少，但被卡绩。。。。。。。
220253,1973,钟蓉戎,2025-06-16 18:36:47,1,1,0,给分和你长得一样烂
220467,1973,钟蓉戎,2025-06-18 05:10:50,1,1,0,出身玩意，都说形策不用花太多时间，看一遍资料，背完校训就进考场。现在好了，摊上这老师喜提2.4，从来没见过这么低的成绩。当时当时看着这人评分如此之低，但是苦于形策是学校强行分配的，退了以后不好选其他人，就没折腾。早知道宁可拖一年都不来上它的课。
5695,2657,张云箫,2015-07-09 07:22:44,1,3,2,哦
7274,2657,张云箫,2015-09-12 14:15:04,1,2,1,哦哦
7375,2657,张云箫,2017-08-28 14:53:40,24,33,9,撕了你的双眼皮贴
7390,2657,张云箫,2015-09-14 06:37:14,2,4,2,哈哈哈哈，好惨
8257,2657,张云箫,2015-09-18 01:16:23,6,10,4,军训好恶心
8555,2657,张云箫,2015-09-22 09:55:19,2,3,1,呵呵哒
9997,2657,张云箫,2015-11-14 05:03:49,-12,6,18,人还不错哦(⊙o⊙)哦
10091,2657,张云箫,2015-11-15 15:37:36,1,2,1,，，，，
10219,2657,张云箫,2015-11-17 13:03:21,1,2,1,呵呵呵
11194,2657,张云箫,2015-11-25 06:38:25,3,5,2,精致的利己主义者
11432,2657,张云箫,2015-12-01 05:28:59,1,2,1,呵呵呵～～
13327,2657,张云箫,2015-12-26 16:42:08,4,6,2,被正态了
14772,2657,张云箫,2016-01-09 02:28:50,1,1,0,
14823,2657,张云箫,2016-01-09 14:23:05,3,5,2,嘴上说的好听，实际上怎么样我们都懂，呵呵
16370,2657,张云箫,2016-01-18 03:58:49,2,4,2,我军训是我历史最低分，练3都没有
21336,2657,张云箫,2016-02-28 05:26:12,1,1,0,一般般
22055,2657,张云箫,2016-03-02 08:10:12,3,3,0,好恶心的人.
32685,2657,张云箫,2016-07-09 10:09:17,8,9,1,垃圾，垃圾中的垃圾，汪子晨更垃圾，两面三刀
32816,2657,张云箫,2016-07-15 09:31:34,1,1,0,噫噫噫
57298,2657,张云箫,2017-07-06 13:10:23,4,11,7,打卡第二年，仇恨不会因为时间而消散的，没有别的地方可以吐槽了就这里吧，当时的三个人，我一点一点都还记得，总有一天我会把你们在我身上做的事情折现以后还给你们，you will pay
57650,2657,张云箫,2017-07-11 14:57:05,2,3,1,从不为学生着想 一个自私的人
58052,2657,张云箫,2017-07-27 06:17:24,2,2,0,恶心 恶心
70576,2657,张云箫,2018-01-27 08:49:43,4,5,1,完全不考虑学生，只顾着维护自己的利益。
159754,2657,张云箫,2022-08-28 08:29:10,4,4,0,打卡第七年，仇恨不会因为时间而消散的，没有别的地方可以吐槽了就这里吧，当时的三个人，我一点一点都还记得，总有一天我会把你们在我身上做的事情折现以后还给你们，you will pay
34160,2706,吕成祯,2016-09-28 01:33:57,0,2,2,爽得很
34359,2706,吕成祯,2016-10-06 16:03:59,4,9,5,上课问的问题莫名其妙，课业也比较烦，不知道思修这门课有多大意义。
41349,2706,吕成祯,2017-08-28 08:16:40,6,13,7,很赞，认真听了几节，很有意思！
45387,2706,吕成祯,2017-01-19 13:42:42,2,3,1,年轻的老师，思修课讲的一般吧，给分也一般。
45463,2706,吕成祯,2017-01-19 14:52:20,2,4,2,很年轻很有活力，上完才知道是14级竺院的辅导员，作业很少，思修考试好好考，不要水过，给分不会差。
46985,2706,吕成祯,2017-01-23 08:12:12,1,4,3,给分一般，老师人不错，事也不多。
48489,2706,吕成祯,2017-03-06 05:09:18,7,11,4,略萌，挺好的老师，给分一般
50968,2706,吕成祯,2017-05-10 12:28:56,0,3,3,很赞！
58667,2706,吕成祯,2017-09-13 12:49:26,5,6,1,歌唱的很好
58734,2706,吕成祯,2017-09-22 11:08:29,1,3,2,岭上开遍哟～映山红。
58740,2706,吕成祯,2017-09-16 10:40:04,2,4,2,军训蛮和善的，给分合理而且还高的。
59412,2706,吕成祯,2017-09-21 07:52:21,0,1,1,军训吗，很松的
59567,2706,吕成祯,2017-09-23 04:26:37,2,4,2,军训的指导员，萌得不行！还会给我们唱歌，高音很腻害。被我们排了不少表情包。以及极力宣传光电专业……
59608,2706,吕成祯,2017-09-25 01:22:46,0,5,5,不体谅学生
60138,2706,吕成祯,2017-10-11 07:50:54,3,5,2,无聊，正太
60376,2706,吕成祯,2017-10-18 11:32:08,2,9,7,史纲课真的太烂了
60920,2706,吕成祯,2017-11-02 14:51:44,1,2,1,读书笔记为什么这么早交\n\n
64628,2706,吕成祯,2017-12-25 16:03:54,1,2,1,很棒的老师，很棒的为人
64629,2706,吕成祯,2017-12-25 16:04:22,1,2,1,挺好的挺好的
66590,2706,吕成祯,2018-01-17 11:55:19,3,3,0,老师人好很可爱，也幽默经常笑着，上课内容也有一些自己的思想，会教我们论文的各种格式（word）。但是只可惜是史纲课...你们懂的...\n\n（只有老师目测人少了很多的情况下才会让组长点名
67975,2706,吕成祯,2018-01-22 12:02:47,0,2,2,给分呵呵哒，很难受很难受很难受
67981,2706,吕成祯,2018-01-22 12:12:57,1,1,0,???
67987,2706,吕成祯,2018-01-22 12:18:21,2,3,1,给分好！！！考完试感觉自己都快挂了，最后绩点居然很OK，作为一个上课不听只发了一次言的人来说很开心了。作业和展示不要水就好
67994,2706,吕成祯,2018-01-28 11:58:07,2,2,0,萌萌的正太感
68158,2706,吕成祯,2018-01-22 15:50:07,1,1,0,展示被老师无情diss多选爆炸以为要很低了 结果绩点还很不错 作业和发言都要认真对待 期末最后论述尽量多写点 不会很低的
68209,2706,吕成祯,2018-01-22 23:56:57,1,1,0,人超级萌 给分特别赞 同学们都是4以上的 思修虽然学不到什么东西 但是在写文章和分析案例的时候也有提高 只要上课发言两次 论文什么的好好写 期末考试其实没什么关系的 反正特别喜欢老师了就
68264,2706,吕成祯,2018-01-23 01:59:23,2,3,1,老师评分很公道，认真做作业绩点就不会低。4.8>~<很激动，很开心
68562,2706,吕成祯,2018-01-23 11:09:30,1,1,0,给分超级好，上课基本水过去，事少，老师萌萌哒
68800,2706,吕成祯,2018-01-24 02:09:17,1,1,0,思修课 很水 不点名 给分还可以\n\n他的课有一个评分项目是上课发言 有点迷
69811,2706,吕成祯,2018-01-25 12:24:50,1,1,0,事不多 给分很棒！
70333,2706,吕成祯,2018-01-26 13:00:07,3,4,1,史纲事少给分高(ฅ>ω<*ฅ)
70334,2706,吕成祯,2018-01-26 13:05:11,6,8,2,史纲课事情真的不多 老师虽然第一次讲史纲，效果不是很好 但老师是非常认真的\n\n给分很好~\n\n
70343,2706,吕成祯,2018-01-26 13:21:45,0,0,0,给分很棒！！！
70344,2706,吕成祯,2018-01-26 13:21:56,1,1,0,老师备课很认真，努力的话给分很好，很有意思
70354,2706,吕成祯,2018-01-26 13:41:14,1,1,0,给分不错，上课有点闷不过性格挺好的，认真听会有收获，人很实在啦，好评
70363,2706,吕成祯,2018-01-26 13:49:57,1,1,0,就发过一次言 没展示没干其他的 绩点也上了4 老师很有趣
70553,2706,吕成祯,2018-01-27 07:56:01,1,1,0,老师人真的很实在很可爱！给分也棒棒哒，最后卷面要多写，平时多发言论文认真写就没什么事了！完全喜欢！
71395,2706,吕成祯,2018-01-28 11:35:01,1,1,0,炒鸡萌
71415,2706,吕成祯,2018-01-28 11:58:21,-2,1,3,给分很不错呦 就是没给我4.8
72735,2706,吕成祯,2018-01-31 04:00:10,3,3,0,虽然他史纲课很水 还有发言刷脸的分\n\n可我一次都没发言就4.5了\n\n还有我想这个老师如果做新生之友一定超棒
72937,2706,吕成祯,2018-01-31 11:50:17,2,2,0,老师给分很棒啊 只发过两次言，绩点也上4了
73099,2706,吕成祯,2018-02-01 02:03:28,0,0,0,棒棒哒，思修给分欧凯
73405,2706,吕成祯,2018-02-01 13:46:27,1,1,0,很可爱的老师，讲课有自己的一套思想，很体谅学生，事情特别少，给分也好。给老师10分！
74276,2706,吕成祯,2018-02-09 01:20:36,3,3,0,老师第一次上史纲，非常非常认真备课，人挺可爱的，很认真的给我们科普论文格式。只要积极主动地去完成一些任务和加分项最后绩点挺好的。
79920,2706,吕成祯,2018-06-15 07:47:08,4,4,0,期末考试交卷的时候看到老师的笑好温暖，心都要化了～
83741,2706,吕成祯,2018-07-11 06:47:44,3,3,0,老师超好的！人很好，给分也很好！
83742,2706,吕成祯,2018-07-11 06:48:39,3,3,0,感恩老师！谢谢老师！
83799,2706,吕成祯,2018-07-11 08:41:58,3,3,0,老师是个好人
83816,2706,吕成祯,2018-07-11 08:58:16,4,4,0,史纲：事少 课水 给分好 点过一次名\n\n期末考完群里都在拜托老师提高分数别卡绩 可能是因为老师年轻的缘故 对于这种其实有点无理的要求态度真的很好 而且也真的有尽力帮我们提高分数 上课的话 之前他有帮忙代过思修 很好玩 但是史纲的话我觉得有点无聊了 不讲课的话还是挺好玩的 一学期下来一篇论文3000字好像 他特意说了不要恶竞 给分我问他他说论文基本上十分都能给到七八分 除非态度特别不认真给五分 一篇读书笔记500字 两次小组任务吧 没什么事其实 然后要求课堂发言10分 一次一分 报名展示会有4-5分 可以合作 但是最后大家在群里求他他就给我们平时分都打得很高 反正我觉得他很好
83818,2706,吕成祯,2018-07-11 09:00:55,5,5,0,史纲：老师人很好！考前大家在群里和老师安利不卡绩，老师真的就照顾到了！上课不要太水，给分就很好啦！以及，虽然老师总是很刻薄?但他真的很好！！
83831,2706,吕成祯,2018-07-11 09:19:23,7,7,0,老师讲课方面平平淡淡，但是人真的很好，虽然小组展示总喜欢diss我们，但是出分前大家在群里疯狂卖萌老师态度都很配合哈哈哈，最后给分真的很好。以及，考试一定要考好，考好了老师再给拉拉平时分，就稳了！
83922,2706,吕成祯,2018-07-11 14:00:11,4,4,0,很认真很负责很友好的老师，男神～\n\n好喜欢好喜欢老师。
84049,2706,吕成祯,2018-07-12 02:42:34,3,3,0,事少给分好！\n\n虽然上课时老是吐槽我们hh
121446,2706,吕成祯,2019-12-16 05:56:56,0,1,1,思修真的难顶，当他说了某些关于LGBT以及各种所谓维护学校的话的时候，他就不值得上面显示的那个分了
194871,2706,吕成祯,2024-06-25 19:11:14,4,4,0,每次课都要点名，水水的事情少，给分还不错
196569,2706,吕成祯,2024-07-04 05:56:20,0,0,0,事少分高
52299,2868,金一平,2017-06-18 03:22:02,2,5,3,....
105416,2868,金一平,2019-04-12 03:53:03,9,15,6,恶心老师，屁大点官作威作福，你以为你谁啊，狗屎一坨。
108588,2868,金一平,2019-05-29 06:16:02,0,2,2,
115636,2868,金一平,2019-08-13 08:50:56,0,2,2,。。。
128069,2868,金一平,2020-12-06 07:00:30,0,0,0,什么鬼
143825,2868,金一平,2021-12-08 01:20:26,6,6,0,官威好大，超级难搞
190458,2868,金一平,2024-03-05 01:55:06,4,4,0,很难评，不尊重学生
190503,2868,金一平,2024-03-06 10:04:36,0,0,0,0\n\n0000
190566,2868,金一平,2024-03-08 14:49:45,0,0,0,.。。
197758,2868,金一平,2024-08-10 05:10:39,0,0,0,口区。
200338,2868,金一平,2024-10-16 05:16:16,3,3,0,非常不尊重学生
200340,2868,金一平,2024-10-16 05:25:23,0,0,0,。。。
